Designator,Comment,Mid X,Mid Y,Rotation,Layer
C1,100nF,-21.205,10.35,90,T
C2,100nF,-22.175,10.34,90,T
C3,10uF,-17.575,10.23,0,T
C4,100nF,-17.75,9.335,180,T
C5,47uF,-31.575,6.2,180,T
C6,100nF,-31.385,7.095,0,T
C7,100nF,5.615,7.105,0,T
C8,47uF,5.4,6.19,180,T
C9,100nF,45.175,7.14,0,T
C10,47uF,44.98,6.195,180,T
C11,100nF,54.775,9.375,180,T
C12,10uF,54.945,10.28,0,T
C13,100nF,18.525,9.265,180,T
C14,10uF,18.655,10.16,0,T
C15,100nF,14.155,9.905,90,T
C16,100nF,15.04,9.935,90,T
C17,100nF,50.38,10.055,90,T
C18,100nF,51.24,10.04,90,T
D1,D_Schottky,-29.14,6.17,0,T
D2,D_Schottky,7.7575,6.17,0,T
D3,D_Schottky,47.19,6.17,0,T
D7,LED,-9.27,24.16,90,T
D8,LED,-9.27,26.3275,90,T
D9,LED,-9.255,28.5625,90,T
D10,LED,26.94,24.16,90,T
D11,LED,26.97,26.3275,90,T
D12,LED,26.97,28.5625,90,T
D13,LED,64,24.16,90,T
D14,LED,64.015,26.3275,90,T
D15,LED,64.03,28.5625,90,T
J4,Bus_PCI_Express_Mini,-25.5,16.5,0,T
J5,Bus_PCI_Express_Mini,10.775,16.5,0,T
J6,Bus_PCI_Express_Mini,47.05,16.5,0,T
R1,10K,-36.795,10.425,180,T
R2,10K,-26.78,22.919999,90,T
R3,100,-25.7,22.92,-90,T
R4,330,-10.35,24.155,90,T
R5,330,-10.34,26.375,90,T
R6,330,-10.395,28.555,90,T
R7,10K,-0.520001,10.425,180,T
R8,10K,9.555,23.005,90,T
R9,100,10.6,23.004999,-90,T
R10,330,25.87,24.180001,90,T
R11,330,25.87,26.365,90,T
R12,330,25.855,28.565,90,T
R13,10K,35.745,10.435,180,T
R14,10K,45.745,22.985,90,T
R15,100,46.87,22.965,-90,T
R16,330,62.845,24.16,90,T
R17,330,62.85,26.3275,90,T
R18,330,62.905,28.575,90,T
R19,10K,-34.32,10.435,180,T
R20,10K,1.890001,10.425,180,T
R21,10K,38.16,10.42,180,T
